addon_name,addon_url,search_rank,active_user,size,version,release_date,number_review,rating,author_name,author_homepage,is_error,platform,search_term
XLS Editor,https://chrome.google.com/webstore/detail/xls-editor/iobjaooppmgjlgomfpaohhncpfjpigaf,1,8985,142KiB,1.3.5,"April 3, 2017",34,3.29411764706,www.offidocs.com,http://www.offidocs.com,False,Chrome,excel
Convert PDF to Excel - PDFfiller,https://chrome.google.com/webstore/detail/convert-pdf-to-excel-pdff/mdofffilpnhpglblegkakoeofjebmppm,2,2062,65.9KiB,0.2.7,"February 28, 2017",14,3.35714285714,https://convert-pdf-excel.pdffiller.com,https://convert-pdf-excel.pdffiller.com,False,Chrome,excel
OpenOffice Excel online for xls spreadsheets,https://chrome.google.com/webstore/detail/openoffice-excel-online-f/fiffkcnehndkebmpinoknndjbhdpbkcn,3,1512,207KiB,1.6.3,"February 24, 2017",4,4.0,offidocs.com,http://offidocs.com,False,Chrome,excel
Convert PDF to Fillable - PDFfiller,https://chrome.google.com/webstore/detail/convert-pdf-to-fillable-p/bjfjkiealedmbiiiolnlbjifaehpgecd,4,3646,65.89KiB,0.2.7,"February 28, 2017",20,3.3,https://convert-pdf-to-fillable-form.pdffiller.com,https://convert-pdf-to-fillable-form.pdffiller.com,False,Chrome,excel
Online Excel Viewer And Editor,https://chrome.google.com/webstore/detail/online-excel-viewer-and-e/mfgpilnjecbpekgkfjlampemiloaencd,5,266,5.32KiB,0.0.2,"March 6, 2017",1,5.0,BrowserNative,https://browsernative.com/online-excel-viewer-editor/,False,Chrome,excel
CloudCodes Insertable,https://chrome.google.com/webstore/detail/cloudcodes-insertable/mkdocgdpmmbciijbekodlgliknfiegbb,6,125012,100KiB,1.0.11,"July 27, 2015",403,4.2729528536,cloudcodes.com,http://cloudcodes.com,False,Chrome,excel
Custom Settings Exporter for Salesforce,https://chrome.google.com/webstore/detail/custom-settings-exporter/lmfmdaidklofmhheadbjcgcdeidnhbil,7,776,67.49KiB,0.0.0.1,"October 14, 2014",5,4.8,Rajiv Bhatt,,False,Chrome,excel
Twlets: Twitter to Excel,https://chrome.google.com/webstore/detail/twlets-twitter-to-excel/glmadnnfibhnhgboophnodnhbjdogiec,8,816,24.84KiB,0.1.1,"December 10, 2016",6,4.5,twlets.com,http://twlets.com,False,Chrome,excel
LibreOffice Editor,https://chrome.google.com/webstore/detail/libreoffice-editor/bdomjcpneblellajjhgfdlnmjfofflop,9,5127,202KiB,1.8.8,"January 27, 2017",26,3.46153846154,www.offidocs.com,http://www.offidocs.com,False,Chrome,excel
"Save Text to PDF, WORD, EXCEL or Send EMAIL",https://chrome.google.com/webstore/detail/save-text-to-pdf-word-exc/fekmmlpjhkgpmlmgbfmdlngdclmncpke,10,97,38.9KiB,1.4.3,"April 30, 2017",7,4.42857142857,selectosave,https://www.facebook.com/select2save/,False,Chrome,excel
